D. execuci�;D. valor;Concepte;Import;Saldo
30/04/2021;30/04/2021;COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*0011;-59,88;1635,25
30/04/2021;30/04/2021;RECIBO TGSS. COTIZACION 005 R.E.AUTONOMOS;-1,23;1695,13
29/04/2021;29/04/2021;COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011;-27,65;1696,36
29/04/2021;29/04/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-4,5;1724,01
29/04/2021;29/04/2021;TRANSF DE FM UNLIMITED MOTORCYCLES,S.L. Nomina Abril Marti Soler Chiva;1292,7;1728,51
28/04/2021;28/04/2021;TRANSF DE A.E.A.T. DEVOLUCIONES TRIBUTARIAS AEAT            APL:IVA AU;49,57;435,81
27/04/2021;27/04/2021;COMPRA TARJETA DEBITO/CREDITO PEDRAFORCA TJ*0011;-39,95;386,24
27/04/2021;27/04/2021;COMPRA TARJETA DEBITO/CREDITO CAL FONT TJ*0011;-10;426,19
26/04/2021;26/04/2021;COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011;-7,72;436,19
26/04/2021;22/04/2021;COMPRA TARJETA DEBITO/CREDITO MARKET IGUALAD2 TJ*0011;-5,12;443,91
24/04/2021;24/04/2021;COMPRA TARJETA DEBITO/CREDITO BEAUTY BY DIA IGUALADA 60 TJ*0011;-7,99;449,03
24/04/2021;24/04/2021;COMPRA TARJETA DEBITO/CREDITO CAL FONT TJ*0011;-6,25;457,02
23/04/2021;23/04/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-3,1;463,27
23/04/2021;23/04/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-5;466,37
22/04/2021;22/04/2021;COMPRA TARJETA DEBITO/CREDITO PIERA TJ*0011;-13,34;471,37
21/04/2021;21/04/2021;TRANSF PARA MARTA PARDOS MAS traspas;-300;484,71
21/04/2021;21/04/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-5,62;784,71
21/04/2021;21/04/2021;COMPRA TARJETA DEBITO/CREDITO FARMACIA RIGOL TJ*0011;-120,48;790,33
21/04/2021;21/04/2021;TRANSF DE RADIO GELIDA MSC Automatitzacio. Factura 2021/01;811,84;910,81
20/04/2021;20/04/2021;COMPRA TARJETA DEBITO/CREDITO ABACUS IGUALADA TJ*0011;-50,2;98,97
20/04/2021;20/04/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,65;149,17
20/04/2021;20/04/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,65;149,82
20/04/2021;20/04/2021;COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011;-16,42;150,47
19/04/2021;19/04/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,35;166,89
16/04/2021;19/04/2021;TRANSF PARA MARTA PARDOS MAS traspas marta;-150;167,24
15/04/2021;15/04/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,6;317,24
15/04/2021;15/04/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-2,12;317,84
14/04/2021;12/04/2021;COMPRA TARJETA DEBITO/CREDITO DNH*GODADDY.COM EUROPE TJ*5783;-61,74;319,96
14/04/2021;12/04/2021;COMPRA TARJETA DEBITO/CREDITO NOMINALIA COM TJ*5783;-58,08;381,7
14/04/2021;14/04/2021;RECIBO SIMYO;-15,57;439,78
14/04/2021;14/04/2021;RECIBO SIMYO;-10;455,35
13/04/2021;13/04/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,35;465,35
13/04/2021;13/04/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,35;465,7
13/04/2021;13/04/2021;COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H23P TJ*0011;-18,64;466,05
13/04/2021;10/04/2021;COMPRA TARJETA DEBITO/CREDITO DNH*GO DADDY EUROPE EUR TJ*5783;-18,14;484,69
12/04/2021;12/04/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-1,55;502,83
12/04/2021;12/04/2021;RECIBO COL.LEGI OFICIAL DE FARMACEUTICS DE BCN;-37,83;504,38
10/04/2021;10/04/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,35;542,21
10/04/2021;10/04/2021;COMPRA TARJETA DEBITO/CREDITO HIPERMERCAT ESCLAT H78I TJ*0011;-123,34;542,56
10/04/2021;10/04/2021;TRANSF PARA Associaci Marta Pardos i Mas;-42;665,9
09/04/2021;09/04/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-0,4;707,9
09/04/2021;09/04/2021;COMPRA TARJETA DEBITO/CREDITO S.I.M.A. TJ*0011;-2,12;708,3
08/04/2021;08/04/2021;RECIBO IGUANA COMUNICACIONS S.L.;-34;710,42
07/04/2021;08/04/2021;TRANSF PARA MARTA PARDOS MAS traspas;-500;744,42
07/04/2021;07/04/2021;COMPRA TARJETA DEBITO/CREDITO PA IGUALADA CARRER COMES TJ*0011;-5,65;1244,42
07/04/2021;07/04/2021;ANULACION TARJETA DEBITO;5,65;1250,07
07/04/2021;07/04/2021;COMPRA TARJETA DEBITO/CREDITO PA IGUALADA CARRER COMES TJ*0011;-5,65;1244,42
07/04/2021;07/04/2021;RECIBO PayPal (Europe) S.a.r.l. et Cie., S.C.A.;-39;1250,07
04/04/2021;04/04/2021;COMPRA TARJETA DEBITO/CREDITO TORRES MASIP TJ*0011;-12,05;1289,07
03/04/2021;03/04/2021;COMPRA TARJETA DEBITO/CREDITO SUPERMERCADOS SUPER MAS TJ*0011;-84,18;1301,12
02/04/2021;02/04/2021;COMPRA TARJETA DEBITO/CREDITO CENTRE CIVIC CLARIANA TJ*5783;-38;1385,3
01/04/2021;01/04/2021;COMPRA TARJETA DEBITO/CREDITO WOMEN SECRET TJ*0011;-68,95;1423,3
01/04/2021;01/04/2021;COMPRA TARJETA DEBITO/CREDITO ASFALT TJ*0011;-32,98;1492,25
